rank,id,dataset_index,score_max_abs_err,true,pred,signed_err
1,54,54,0.9058015197515488,-53.21698311169166,-54.12278463144321,-0.9058015197515488
2,38321,38321,0.815131813113112,-81.53936751880974,-80.72423570569663,0.815131813113112
3,133862,133862,0.7081374034751207,-79.98854048855719,-80.69667789203231,-0.7081374034751207
4,131914,131914,0.653302000297117,-60.68258689298818,-61.3358888932853,-0.653302000297117
5,37014,37014,0.3943576912060962,-65.97168713555584,-66.36604482676194,-0.3943576912060962
6,37387,37387,0.3283041763061192,-83.14579014256014,-83.47409431886626,-0.3283041763061192
7,133395,133395,0.2963103338552173,-47.65386206173571,-47.35755172788049,0.2963103338552173
8,25811,25811,0.2839936410309747,-62.69475945373415,-62.410765812703175,0.2839936410309747
9,37580,37580,0.26611803362857245,-70.31793975008259,-70.58405778371116,-0.26611803362857245
10,37080,37080,0.264694757424877,-60.50473016106116,-60.240035403636284,0.264694757424877
11,41213,41213,0.24296567925921408,-66.45896144819562,-66.70192712745484,-0.24296567925921408
12,41216,41216,0.2328801706316881,-77.93024434959807,-78.16312452022976,-0.2328801706316881
13,82610,82610,0.22298598998168018,-80.87916600483004,-81.10215199481172,-0.22298598998168018
14,75648,75648,0.20631814043736085,-64.25187652843306,-64.0455583879957,0.20631814043736085
15,133838,133838,0.20391684627975337,-61.9578474930895,-62.161764339369256,-0.20391684627975337
16,1,1,0.20186089363414794,-11.245996102457866,-11.447856996092014,-0.20186089363414794
17,37004,37004,0.19818651847890578,-88.42754419561243,-88.62573071409133,-0.19818651847890578
18,129157,129157,0.19561548018828034,-37.50309266831027,-37.30747718812199,0.19561548018828034
19,37073,37073,0.19545524757995736,-82.8422773895436,-82.64682214196364,0.19545524757995736
20,37011,37011,0.1906168081331998,-81.33653279137798,-81.52714959951118,-0.1906168081331998
21,41224,41224,0.18614931814954616,-63.65126398501161,-63.465114666862064,0.18614931814954616
22,37065,37065,0.18582299968693405,-89.97750860374072,-89.79168560405378,0.18582299968693405
23,133822,133822,0.17924980446696281,-64.34186579522793,-64.5211155996949,-0.17924980446696281
24,25764,25764,0.17914737266255543,-57.88523065211484,-57.70608327945229,0.17914737266255543
25,39172,39172,0.17896958031633403,-77.78177676566702,-77.96074634598335,-0.17896958031633403
26,32225,32225,0.1788078843965195,-77.00954412389547,-77.18835200829199,-0.1788078843965195
27,38874,38874,0.17693923562183045,-82.63103520593722,-82.4540959703154,0.17693923562183045
28,39234,39234,0.17472524533513933,-81.47457867086632,-81.64930391620146,-0.17472524533513933
29,37751,37751,0.17168064286306617,-68.64525600411434,-68.81693664697741,-0.17168064286306617
30,43240,43240,0.16984583316661883,-61.814849767513806,-61.64500393434719,0.16984583316661883
31,42142,42142,0.16941635124385357,-84.08831053756876,-84.25772688881261,-0.16941635124385357
32,37857,37857,0.16908417953527533,-84.84122527268482,-84.67214109314955,0.16908417953527533
33,2,2,0.1688427331391722,-8.733847319497727,-8.902690052636899,-0.1688427331391722
34,37613,37613,0.16846036870322223,-70.84603118760208,-70.67757081889886,0.16846036870322223
35,8589,8589,0.16759599174838513,-53.20985385810491,-53.37744984985329,-0.16759599174838513
36,37077,37077,0.16742441847600276,-67.33070366132597,-67.16327924284997,0.16742441847600276
37,37659,37659,0.16475030818219238,-72.03119655086266,-71.86644624268047,0.16475030818219238
38,129135,129135,0.1646869285032153,-51.34946401347406,-51.18477708497085,0.1646869285032153
39,32244,32244,0.16268292341555934,-79.25105271484063,-79.41373563825618,-0.16268292341555934
