id,score,true,pred,err,abs_err,split,rank,smiles
133862,0.7786931620066753,[-79.98854048855719],[-80.76723365056387],[-0.7786931620066753],[0.7786931620066753],train,1,C1C2CC3CC4CC1C234
38321,0.3942805015249178,[-81.53936751880974],[-81.14508701728482],[0.3942805015249178],[0.3942805015249178],train,2,C1C2CC1C21C2CC1C2
54,0.31416419736342505,[-53.21698311169166],[-53.531147309055086],[-0.31416419736342505],[0.31416419736342505],train,3,CC(C)(C)O
37014,0.30062307864864124,[-65.97168713555584],[-66.27231021420448],[-0.30062307864864124],[0.30062307864864124],train,4,C1C2(CO1)C3(O2)COC3
37846,0.22232530484325252,[-84.01419088389957],[-83.79186557905632],[0.22232530484325252],[0.22232530484325252],train,5,C1C2C3CC4C1C2CC34
37387,0.2046777682553511,[-83.14579014256014],[-83.3504679108155],[-0.2046777682553511],[0.2046777682553511],train,6,C1C2C1C1CC3C2CC13
131914,0.20400245000200812,[-60.68258689298818],[-60.88658934299019],[-0.20400245000200812],[0.20400245000200812],train,7,c1ccc(cc1)N(=O)=O
66800,0.20399421887486824,[-69.17337792538456],[-69.37737214425943],[-0.20399421887486824],[0.20399421887486824],train,8,OC12C3C4C5C3C1C5C24
37580,0.19922622415788283,[-70.31793975008259],[-70.51716597424047],[-0.19922622415788283],[0.19922622415788283],train,9,O1C2C3C2C2C4C1C4C32
37011,0.1992166897689458,[-81.33653279137798],[-81.53574948114692],[-0.1992166897689458],[0.1992166897689458],train,10,C1CC2(C1)C3(O2)CCC3
37004,0.18668196353246458,[-88.42754419561243],[-88.61422615914489],[-0.18668196353246458],[0.18668196353246458],train,11,C1CC2(C1)CC23CCC3
39234,0.17954246676526964,[-81.47457867086632],[-81.65412113763159],[-0.17954246676526964],[0.17954246676526964],train,12,C1C2CCC3CC3OC12
19098,0.1765851142408792,[-56.489611950179096],[-56.666197064419976],[-0.1765851142408792],[0.1765851142408792],train,13,O1C2C3OC4C1C2C34
37077,0.17575687993667088,[-67.33070366132597],[-67.1549467813893],[0.17575687993667088],[0.17575687993667088],train,14,C1OCC23COCC12O3
19117,0.1612466831866186,[-55.04702826592256],[-55.20827494910918],[-0.1612466831866186],[0.1612466831866186],train,15,C12C3C4C5C(C1N35)N24
82610,0.156245084508555,[-80.87916600483004],[-81.0354110893386],[-0.156245084508555],[0.156245084508555],train,16,CC1C2OC3C(C)C3C12
54386,0.1550717830632493,[-69.98901366639257],[-70.14408544945582],[-0.1550717830632493],[0.1550717830632493],train,17,[NH3+]C12CC(C1)(C2)C([O-])=O
37863,0.15332577808294445,[-61.031844958197325],[-61.18517073628027],[-0.15332577808294445],[0.15332577808294445],train,18,O1C2C3OC4C1C4OC23
41081,0.15147331719163049,[-69.93856051530383],[-70.09003383249546],[-0.15147331719163049],[0.15147331719163049],train,19,C1CC23C4CC(C2O4)N13
82371,0.15021916778641753,[-88.86755318124779],[-88.71733401346137],[0.15021916778641753],[0.15021916778641753],train,20,CC1C2CC2CC2CC12
