i,smiles,A_G_eV,status
0,[H]C([H])([H])[H],-16.151918411254883,OK
1,[H]N([H])[H],-11.246005058288574,OK
2,[H]O[H],-8.733848571777344,OK
3,[H]C#C[H],-15.86263370513916,OK
4,[H]C#N,-12.520095825195312,OK
5,[H]C([H])=O,-14.763946533203123,OK
6,[H]C([H])([H])C([H])([H])[H],-27.18616485595703,OK
7,[H]OC([H])([H])[H],-19.51924514770508,OK
8,[H]C#CC([H])([H])[H],-27.37781524658203,OK
9,[H]C([H])([H])C#N,-24.159278869628903,OK
10,[H]C(=O)C([H])([H])[H],-26.303726196289062,OK
11,[H]C(=O)N([H])[H],-22.12468147277832,OK
12,[H]C([H])([H])C([H])([H])C([H])([H])[H],-38.28070831298828,OK
13,[H]OC([H])([H])C([H])([H])[H],-30.760297775268555,OK
14,[H]C([H])([H])OC([H])([H])[H],-30.42284774780273,OK
15,[H]C1([H])C([H])([H])C1([H])[H],-32.64207458496094,OK
16,[H]C1([H])OC1([H])[H],-25.055376052856445,OK
17,[H]C([H])([H])C(=O)C([H])([H])[H],-37.75392532348633,OK
18,[H]N([H])C(=O)C([H])([H])[H],-33.51817321777344,OK
19,[H]N([H])C(=O)N([H])[H],-28.990278244018555,OK
20,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-49.40167617797852,OK
21,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],-42.00796508789063,OK
22,[H]CC#CC[H],-27.633136749267575,OK
23,[H]CC#C[NH3+],-24.14327621459961,OK
24,N#CC#N,-20.3330020904541,OK
25,[H]C#CC([H])=O,-26.264596939086918,OK
26,[H]C(=O)C#N,-22.738788604736328,OK
27,[H]C(=O)C([H])=O,-25.07589340209961,OK
28,[H]C([H])([H])C#CC([H])([H])[H],-38.82550811767578,OK
29,[H]C#CC([H])([H])C([H])([H])[H],-38.46046829223633,OK
30,[H]C([H])([H])C([H])([H])C#N,-35.248085021972656,OK
31,[H]N([H])C([H])([H])C#N,-30.0548152923584,OK
32,[H]C#CC([H])([H])O[H],-30.76092338562012,OK
33,[H]OC([H])([H])C#N,-27.470985412597656,OK
34,[H]C(=O)C([H])([H])C([H])([H])[H],-37.3817253112793,OK
35,[H]C(=O)N([H])C([H])([H])[H],-33.10556411743164,OK
36,[H]C(=O)OC([H])([H])[H],-30.359203338623047,OK
37,[H]OC([H])([H])C([H])=O,-29.78318977355957,OK
38,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-49.37239837646485,OK
39,[H]OC([H])([H])C([H])([H])C([H])([H])[H],-41.851959228515625,OK
40,[H]C([H])([H])OC([H])([H])C([H])([H])[H],-41.66063690185547,OK
41,[H]OC([H])([H])C([H])([H])O[H],-34.393428802490234,OK
42,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],-43.8260612487793,OK
43,[H]C([H])([H])[C@]1([H])OC1([H])[H],-36.37982940673828,OK
44,[H]C([H])([H])[NH+]1C([H])([H])C1([H])[H],-38.49693298339844,OK
45,[H]OC1([H])C([H])([H])C1([H])[H],-36.263092041015625,OK
46,[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],-43.78239059448242,OK
47,[H]C1([H])OC([H])([H])C1([H])[H],-36.238277435302734,OK
48,[H]ON=C(C([H])([H])[H])C([H])([H])[H],-42.6262321472168,OK
49,[H]c1c([H])c([H])n([H])c1[H],-41.61655426025391,OK
50,[H]c1nc([H])n([H])c1[H],-37.05241394042969,OK
51,[H]c1oc([H])c([H])c1[H],-38.82752227783203,OK
52,[H]c1nc([H])c([H])o1,-34.29037857055664,OK
53,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-60.5100212097168,OK
54,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-53.21701049804688,OK
55,[H]C#CC(=O)C([H])([H])[H],-37.751312255859375,OK
56,[H]C([H])([H])C(=O)C#N,-34.30289459228516,OK
57,[H]C#CC(=O)N([H])[H],-33.50383377075195,OK
58,[H]C(=O)C(=O)C([H])([H])[H],-36.62138748168945,OK
59,[H]C(=O)C(=O)N([H])[H],-32.21615982055664,OK
60,[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],-49.569820404052734,OK
61,[H]C([H])([H])C([H])(C#N)C([H])([H])[H],-46.36469268798828,OK
62,[H]N([H])[C@@]([H])(C#N)C([H])([H])[H],-41.34310531616211,OK
63,[H]C#C[C@]([H])(O[H])C([H])([H])[H],-42.08782958984375,OK
64,[H]O[C@@]([H])(C#N)C([H])([H])[H],-38.81222915649414,OK
65,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],-48.5008430480957,OK
66,[H]O[C@@]([H])(C([H])=O)C([H])([H])[H],-41.04579544067383,OK
67,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],-44.096439361572266,OK
68,[H]OC([H])([H])C(=O)C([H])([H])[H],-41.43560028076172,OK
69,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],-48.87274169921875,OK
70,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],-44.62847137451172,OK
71,[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],-44.5015869140625,OK
72,[H]N([H])C(=O)N([H])C([H])([H])[H],-39.9493408203125,OK
73,[H][N-]C(OC([H])([H])[H])C([H])([H])[H],-43.7227668762207,OK
74,[H]C([H])([H])OC(=O)C([H])([H])[H],-41.977294921875,OK
75,[H]N([H])C(=O)OC([H])([H])[H],-37.52055740356445,OK
76,[H]OC([H])([H])C(=O)N([H])[H],-36.86906433105469,OK
77,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-52.98049545288086,OK
78,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])[H],-45.654781341552734,OK
79,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-60.454345703125,OK
80,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-53.10389709472656,OK
81,[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],-52.83771133422852,OK
82,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],-55.01655578613281,OK
83,[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],-47.67095565795898,OK
84,[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],-47.59962844848633,OK
85,[H][N-]C1OC([H])([H])C1([H])[H],-38.4060173034668,OK
86,[H]C1([H])C(=O)C([H])([H])C1([H])[H],-43.376014709472656,OK
87,[H]N1C(=O)C([H])([H])C1([H])[H],-39.0810775756836,OK
88,[H]C1([H])OC(=O)C1([H])[H],-36.64277267456055,OK
89,[H]N1C([H])([H])C(=O)C1([H])[H],-38.1142578125,OK
90,[H]C1([H])OC([H])([H])C1=O,-35.62417221069336,OK
91,[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],-54.97527694702149,OK
92,[H]C1([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],-47.54844665527344,OK
93,[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],-47.41203308105469,OK
94,[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],-47.58964538574219,OK
95,[H]OC1([H])C([H])([H])OC1([H])[H],-39.94618225097656,OK
96,[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])[H],-54.9478759765625,OK
97,[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],-47.48958969116211,OK
98,[H]C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])[H],-49.63948059082031,OK
99,[H]C([H])([H])[C@]1([H])O[C@]1([H])C([H])([H])[H],-47.64300537109375,OK
100,[H]O[C@@]1([H])C([H])([H])[C@@]1([H])O[H],-40.01045608520508,OK
101,[H]C1([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],-48.740684509277344,OK
102,C1C23CC12O3,-40.96290969848633,OK
103,[H]C#CC([H])([H])C#C[H],-38.47369384765625,OK
104,[H]C#CC([H])([H])C#N,-35.19205474853516,OK
105,[H]C([H])(C#N)C#N,-31.802902221679688,OK
106,[H]C#CC([H])([H])C([H])=O,-37.50673675537109,OK
107,[H]C(=O)C([H])([H])C#N,-34.19766616821289,OK
108,[H]/N=C(\[H])N([H])C([H])=O,-34.43070602416992,OK
109,[H][N-][C+]([H])OC([H])=O,-31.87185478210449,OK
110,[H]C(=O)N([H])C([H])=O,-32.503597259521484,OK
111,[H]C#CC#CC([H])([H])[H],-39.18042755126953,OK
112,[H]C([H])([H])C#CC#N,-35.75189971923828,OK
113,[H]C(=O)C#CC([H])([H])[H],-37.83602142333984,OK
114,[H]OC([H])([H])C#CC([H])([H])[H],-42.23588562011719,OK
115,[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],-49.90963363647461,OK
116,[H][C+]([NH2+]C([H])([H])[H])OC([H])([H])[H],-43.16585922241211,OK
117,[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],-49.5631217956543,OK
118,[H]C([H])([H])C([H])([H])C([H])([H])C#N,-46.35451889038086,OK
119,[H]N(C([H])([H])[H])C([H])([H])C#N,-40.98884201049805,OK
120,[H]C#CC([H])([H])OC([H])([H])[H],-41.65663528442383,OK
121,[H]C([H])([H])OC([H])([H])C#N,-38.36400604248047,OK
122,[H]C#CC([H])([H])C([H])([H])O[H],-42.03996276855469,OK
123,[H]OC([H])([H])C([H])([H])C#N,-38.8106803894043,OK
124,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],-48.47284698486328,OK
125,[H]C(=O)N([H])C([H])([H])C([H])([H])[H],-44.27652359008789,OK
126,[H]C(=O)OC([H])([H])C([H])([H])[H],-41.60245895385742,OK
127,[H]C(=O)C([H])([H])OC([H])([H])[H],-40.6685905456543,OK
128,[H]OC([H])([H])C([H])([H])C([H])=O,-40.91942596435547,OK
129,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-60.46403121948242,OK
130,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-52.938262939453125,OK
131,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],-52.75017547607422,OK
132,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],-52.8974723815918,OK
133,[H]OC([H])([H])C([H])([H])OC([H])([H])[H],-45.29055404663086,OK
134,[H]OC([H])([H])C([H])([H])C([H])([H])O[H],-45.38927459716797,OK
