rank,split,block_name,tensor_group,block_size,repeats,baseline_mae,permuted_mae_mean,permuted_mae_std,importance_mae_delta,relative_increase_pct
1,test,global_descriptors,atom.g,217,5,0.23223864695679838,9.117208822378553,0.08254576458623702,8.884970175421754,3825.793119210929
2,test,atom_node_features,atom.x,71,5,0.23223864695679838,0.8534382382961155,0.01096792018805293,0.6211995913393171,267.4832976678831
3,test,line_ring_strain,line.edge_attr,6,5,0.23223864695679838,0.3513329996965286,0.001403271953623346,0.11909435273973021,51.28102247421569
4,test,line_src_atom_features,line.x,71,5,0.23223864695679838,0.27409332238945183,0.0024967106771950653,0.04185467543265345,18.02226975617859
5,test,line_center_hybridization,line.edge_attr,6,5,0.23223864695679838,0.2346303112984139,0.0001352696154792174,0.002391664341615529,1.0298304666149871
6,test,line_src_laplacian_pe,line.x,4,5,0.23223864695679838,0.2324968872783205,0.00038526818355067035,0.0002582403215221074,0.11119610146977214
7,test,line_outgoing_bond_features,line.edge_attr,6,5,0.23223864695679838,0.23235203539003618,0.00020529674319204674,0.00011338843323779879,0.048824101726226296
8,test,line_pseudo_angle,line.edge_attr,1,5,0.23223864695679838,0.23216876623338312,1.3325381234825108e-05,-6.988072341526652e-05,-0.030090049322525507
9,test,line_dst_laplacian_pe,line.x,4,5,0.23223864695679838,0.23197444549395727,0.00032671519547714916,-0.00026420146284111823,-0.11376291857671116
10,test,line_conjugation_flow,line.edge_attr,1,5,0.23223864695679838,0.2316333920543383,0.00017723787357874012,-0.0006052549024600784,-0.26061764929790926
11,test,line_incoming_bond_features,line.edge_attr,6,5,0.23223864695679838,0.23153292314431734,0.0002958986220451176,-0.0007057238124810461,-0.30387871343925227
12,test,line_bond_features,line.x,6,5,0.23223864695679838,0.2291847299473674,0.0007440400218668038,-0.003053917009430973,-1.3149908722983004
