id,score,true,pred,err,abs_err,split,rank,smiles
4207,4.501714862914753,[-53.99737519801363],[-58.49909006092838],[-4.501714862914753],[4.501714862914753],train,1,c1ccc(cc1)F
213,3.8549278130312814,[-53.295730282573004],[-57.150658095604285],[-3.8549278130312814],[3.8549278130312814],train,2,c1ccccc1
939,3.6082292382925942,[-59.73345189092453],[-63.34168112921712],[-3.6082292382925942],[3.6082292382925942],train,3,c1ccc(cc1)N
4364,3.4393293661489253,[-63.67885589458284],[-67.11818526073176],[-3.4393293661489253],[3.4393293661489253],train,4,c1cc(cc(c1)O)N
4581,3.3697159728187884,[-63.59303284224533],[-66.96274881506412],[-3.3697159728187884],[3.3697159728187884],train,5,c1cc(ccc1N)O
948,2.980623054703301,[-57.24255011426385],[-60.22317316896715],[-2.980623054703301],[2.980623054703301],train,6,c1ccc(cc1)O
3898,2.396766344655134,[-37.2463829868293],[-34.84961664217417],[2.396766344655134],[2.396766344655134],train,7,O=C1N=CON=N1
3837,2.13061340706372,[-38.82940154905373],[-36.69878814199001],[2.13061340706372],[2.13061340706372],train,8,N=C1N=CON=N1
5346,2.105719393646723,[-61.51721198335133],[-63.622931376998054],[-2.105719393646723],[2.105719393646723],train,9,c1ccc(cc1)C#N
4341,2.0386832507304007,[-68.49970236429158],[-70.53838561502198],[-2.0386832507304007],[2.0386832507304007],train,10,Cc1cccc(c1)O
19117,2.0147384416379737,[-55.04702779897548],[-57.06176624061345],[-2.0147384416379737],[2.0147384416379737],train,11,C12C3C4C5C(C1N35)N24
5049,1.9130091984725652,[-62.78403850813146],[-64.69704770660402],[-1.9130091984725652],[1.9130091984725652],train,12,c1cccc(=O)cc1
5659,1.906876625220093,[-48.619759091372316],[-50.52663571659241],[-1.906876625220093],[1.906876625220093],train,13,c1[nH]c2c(n1)ocn2
5658,1.858296291388342,[-51.482204795160214],[-53.34050108654856],[-1.858296291388342],[1.858296291388342],train,14,c1[nH]c2c(n1)[nH]cn2
10252,1.8489497363054852,[-49.86024060549971],[-48.01129086919423],[1.8489497363054852],[1.8489497363054852],train,15,C(=O)N(C=O)C(=O)N
4959,1.781956321708833,[-68.45981600756954],[-66.67785968586071],[1.781956321708833],[1.781956321708833],train,16,Cc1ccccc1O
6357,1.7579433591808993,[-56.975063064344226],[-58.733006423525126],[-1.7579433591808993],[1.7579433591808993],train,17,COC(=O)NC(=N)N
14787,1.716559745637369,[-93.73052087827091],[-95.44708062390828],[-1.716559745637369],[1.716559745637369],train,18,CCCCCCCC
3435,1.6595453358800114,[-50.79236631475965],[-49.132820978879636],[1.6595453358800114],[1.6595453358800114],train,19,NC1=NCC2OC12
4563,1.6303724873436636,[-70.98309349110878],[-69.35272100376511],[1.6303724873436636],[1.6303724873436636],train,20,Cc1ccc(cc1)N
