i,smiles,A_G_eV
0,C,-16.15190888
1,N,-11.24599772
2,O,-8.733843794
3,C#C,-15.86262477
4,C#N,-12.52008861
5,C=O,-14.76393839
6,CC,-27.18614769
7,CO,-19.51923461
8,CC#C,-27.37779739
9,CC#N,-24.15926344
10,CC=O,-26.30371009
11,C(=O)N,-22.12466911
12,CCC,-38.28068691
13,CCO,-30.76027985
14,COC,-30.42283162
15,C1CC1,-32.64205512
16,C1CO1,-25.05536116
17,CC(=O)C,-37.75390194
18,CC(=O)N,-33.51815247
19,C(=O)(N)N,-28.9902617
20,CC(C)C,-49.40164837
21,CC(C)O,-42.00793746
22,C#CC#C,-27.6331217
23,C#CC#N,-24.14326316
24,C(#N)C#N,-20.3329907
25,C#CC=O,-26.26458013
26,C(=O)C#N,-22.73877537
27,C(=O)C=O,-25.07587853
28,CC#CC,-38.8254858
29,CCC#C,-38.46044523
30,CCC#N,-35.24806106
31,C(C#N)N,-30.05479781
32,C#CCO,-30.76090571
33,C(C#N)O,-27.47096913
34,CCC=O,-37.38170479
35,CNC=O,-33.10554643
36,COC=O,-30.35918422
37,C(C=O)O,-29.78317388
38,CCCC,-49.37236893
39,CCCO,-41.85193466
40,CCOC,-41.6606115
41,C(CO)O,-34.39340627
42,CC1CC1,-43.82603811
43,CC1CO1,-36.37980926
44,CN1CC1,-38.49690847
45,C1CC1O,-36.26307247
46,C1CCC1,-43.78236386
47,C1COC1,-36.2382557
48,CC(=NO)C,-42.62620706
49,c1cc[nH]c1,-41.61652908
50,c1cnc[nH]1,-37.05239276
51,c1ccoc1,-38.82749944
52,c1cocn1,-34.2903568
53,CC(C)(C)C,-60.50998375
54,CC(C)(C)O,-53.21698213
55,CC(=O)C#C,-37.75128965
56,CC(=O)C#N,-34.30287403
57,C(#N)C(=N)N,-31.87559238
58,C#CC(=O)N,-33.50381208
59,CC(=O)C=O,-36.62136461
60,C(=O)C(=N)N,-34.37250794
61,C(=O)C(=O)N,-32.21614271
62,CC(C)C#C,-49.56978744
63,CC(C)C#N,-46.3646687
64,CC(N)C#N,-41.34308199
65,CC(O)C#C,-42.08780284
66,CC(O)C#N,-38.81220665
67,CC(C)C=O,-48.50081587
