id,score,true,pred,err,abs_err,split,rank,smiles
20237,1.270602879623766,[-63.32918912572495],[-62.058586246101186],[1.270602879623766],[1.270602879623766],train,1,C1C2C3C4C(CN23)N14
37656,1.1251352671642962,[-69.53259272780997],[-68.40745746064567],[1.1251352671642962],[1.1251352671642962],train,2,C1C2C3C4C5C(C1N34)N25
20238,1.106272999124485,[-73.59245296794325],[-72.48617996881876],[1.106272999124485],[1.106272999124485],train,3,C1C2C3CC4C1C4C23
19092,1.0684800532326335,[-60.977474156417884],[-62.04595420965052],[-1.0684800532326335],[1.0684800532326335],train,4,C1C2C3C4C(CN24)N13
37659,0.9575457231321707,[-72.03119655086266],[-71.07365082773049],[0.9575457231321707],[0.9575457231321707],train,5,O1C2C3C4C5C2C5C1C34
20288,0.940278601803584,[-56.77478794689523],[-55.83450934509165],[0.940278601803584],[0.940278601803584],train,6,C12C3C4C5C(C1N25)N34
19093,0.925114304816816,[-71.56106566400194],[-72.48617996881876],[-0.925114304816816],[0.925114304816816],train,7,C1C2C3CC4C1C2C34
37004,0.881210570136318,[-88.42754419561243],[-89.30875476574874],[-0.881210570136318],[0.881210570136318],train,8,C1CC2(C1)CC23CCC3
20242,0.8679851608758327,[-58.09298722774838],[-57.22500206687255],[0.8679851608758327],[0.8679851608758327],train,9,O1C2C3OC4C1C4C23
19115,0.8652034057304263,[-65.25970451530884],[-66.12490792103927],[-0.8652034057304263],[0.8652034057304263],train,10,C12C3C4C1C1C2C3C41
37011,0.8088827413885156,[-81.33653279137798],[-82.14541553276649],[-0.8088827413885156],[0.8088827413885156],train,11,C1CC2(C1)C3(O2)CCC3
19117,0.7734025593090337,[-55.04702826592256],[-55.8204308252316],[-0.7734025593090337],[0.7734025593090337],train,12,C12C3C4C5C(C1N35)N24
37580,0.7557113977472909,[-70.31793975008259],[-71.07365114782988],[-0.7557113977472909],[0.7557113977472909],train,13,O1C2C3C2C2C4C1C4C32
37013,0.7552201823709765,[-68.26372533561516],[-69.01894551798614],[-0.7552201823709765],[0.7552201823709765],train,14,C1C2(CO1)C3(N2)COC3
19098,0.735390116693452,[-56.489611950179096],[-57.22500206687255],[-0.735390116693452],[0.735390116693452],train,15,O1C2C3OC4C1C2C34
20286,0.7256781183241401,[-66.8505860393634],[-66.12490792103927],[0.7256781183241401],[0.7256781183241401],train,16,C12C3C4C3C3C1C2C43
37076,0.721082497128009,[-69.74002838094202],[-69.01894588381401],[0.721082497128009],[0.721082497128009],train,17,C1OCC23COCC12N3
37014,0.7082906853538589,[-65.97168713555584],[-66.6799778209097],[-0.7082906853538589],[0.7082906853538589],train,18,C1C2(CO1)C3(O2)COC3
37073,0.6968633200885961,[-82.8422773895436],[-82.145414069455],[0.6968633200885961],[0.6968633200885961],train,19,C1CC23CCCC2(C1)O3
41718,0.6846995433152188,[-90.37166618710035],[-89.68696664378513],[0.6846995433152188],[0.6846995433152188],train,20,C1CC2C3CCC2C1C3
